緯度,經度,案件編號,立案案號,事項
23.0618291,120.1914569, UN201604020097 , A-TB-2016-19459 , 道路散落物 
23.038315,120.191052, UN201604020109 , A-TB-2016-19471 , 環境髒亂 
22.9837562,120.1914964, UN201604020261 , A-TB-2016-19572 , 道路散落物 
23.0335089,120.3085251, UN201604030016 , A-TB-2016-19639 , 路面油漬 
23.0376224,120.2423499, UN201604030040 , A-TB-2016-19658 , 環境髒亂 
22.9755597,120.197755, UN201604030073 , A-TB-2016-19679 , 環境髒亂 
22.9740883,120.2129208, UN201604030172 , A-TB-2016-19736 , 其他汙染舉發 
23.181628,120.252215, UN201604040041 , A-TB-2016-19857 , 場所連續噪音 
23.010068,120.1882893, UN201604040046 , A-TB-2016-19858 , 環境髒亂 
22.9761131,120.1840146, UN201604040053 , A-TB-2016-19860 , 道路散落物 
23.0017825,120.1589746, UN201604040066 , A-TB-2016-19867 , 小廣告旗幟 
22.9823858,120.2039098, UN201604040205 , A-TB-2016-19949 , 環境髒亂 
22.975326,120.1910207, UN201604050006 , A-TB-2016-20010 , 市區道路路面油漬 
23.0396705,120.2015284, UN201604050184 , A-TB-2016-20113 , 環境髒亂 
23.0348084,120.2268537, UN201604050198 , A-TB-2016-20132 , 環境髒亂 
23.0117451,120.263135, UN201604050303 , A-TB-2016-20183 , 道路散落物 
22.9872427,120.2051886, UN201604060006 , A-TB-2016-20189 , 道路散落物 
23.1767115,120.2471542, UN201604060009 , A-TB-2016-20192 , 路面油漬 
22.925639,120.1896139, UN201604060040 , A-TB-2016-20243 , 其他汙染舉發 
23.0151753,120.2032797, UN201604060195 , A-TB-2016-20312 , 環境髒亂 
22.9918508,120.1920012, UN201604060256 , A-TB-2016-20327 , 其他汙染舉發 
22.996198,120.204719, UN201604060366 , A-TB-2016-20451 , 場所連續噪音 
22.9389476,120.2289083, UN201604060377 , A-TB-2016-20457 , 道路散落物 
22.98775,120.220927, UN201604070049 , A-TB-2016-20525 , 環境髒亂 
22.9880624,120.2201376, UN201604070066 , A-TB-2016-20526 , 環境髒亂 
22.98775,120.220927, UN201604070081 , A-TB-2016-20528 , 環境髒亂 
23.0261987,120.2158922, UN201604070208 , A-TB-2016-20591 , 市區道路路面油漬 
22.9761003,120.1815141, UN201604070225 , A-TB-2016-20596 , 路面油漬 
