緯度,經度,案件編號,立案案號
23.0372156,120.2543114, UN201504260190 , A-TB-2015-18875 
22.9840012,120.1998317, UN201504270006 , A-TB-2015-18903 
22.9719254,120.2122007, UN201504270023 , A-TB-2015-18910 
23.2321952,120.1807311, UN201504270054 , A-TB-2015-18923 
22.995941,120.1869835, UN201504270090 , A-TB-2015-18967 
22.9904919,120.2329276, UN201504270097 , A-TB-2015-18969 
22.9959724,120.2030471, UN201504270110 , A-TB-2015-18938 
22.9920508,120.2106193, UN201504270121 , A-TB-2015-18928 
23.0233752,120.2184337, UN201504270166 , A-TB-2015-18981 
22.974817,120.212103, UN201504270178 , A-TB-2015-18989 
23.0036213,120.1954923, UN201504270188 , A-TB-2015-18996 
23.0645351,120.2944186, UN201504270191 , A-TB-2015-18997 
22.9952362,120.1931858, UN201504270192 , A-TB-2015-19009 
22.9189339,120.2274961, UN201504270203 , A-TB-2015-19011 
22.9944127,120.198921, UN201504270208 , A-TB-2015-19012 
22.9891521,120.2054786, UN201504270308 , A-TB-2015-19081 
22.992647,120.2111789, UN201504270319 , A-TB-2015-19088 
22.9991563,120.1951191, UN201504270336 , A-TB-2015-19133 
22.9781138,120.2139533, UN201504270341 , A-TB-2015-19114 
22.9722526,120.2335078, UN201504270375 , A-TB-2015-19146 
22.9961408,120.1714995, UN201504270394 , A-TB-2015-19135 
23.0081862,120.2214119, UN201504280020 , A-TB-2015-19156 
23.1839493,120.2458298, UN201504280021 , A-TB-2015-19179 
22.9825532,120.2046659, UN201504280148 , A-TB-2015-19241 
22.919074,120.227629, UN201504280162 , A-TB-2015-19250 
22.9952058,120.2097062, UN201504280164 , A-TB-2015-19251 
22.9686785,120.2294964, UN201504280172 , A-TB-2015-19259 
22.9833888,120.2355769, UN201504280234 , A-TB-2015-19300 
23.0107094,120.2235907, UN201504280238 , A-TB-2015-19303 
22.9863488,120.186681, UN201504280240 , A-TB-2015-19311 
22.9892948,120.1976545, UN201504280249 , A-TB-2015-19349 
22.9893186,120.1751381, UN201504280291 , A-TB-2015-19366 
22.9957872,120.2271941, UN201504280294 , A-TB-2015-19364 
22.9958538,120.2269238, UN201504280309 , A-TB-2015-19374 
23.0405904,120.1977848, UN201504280314 , A-TB-2015-19377 
22.9907759,120.2255556, UN201504280318 , A-TB-2015-19382 
23.0221742,120.2242381, UN201504280326 , A-TB-2015-19387 
22.9908237,120.2032157, UN201504280327 , A-TB-2015-19388 
23.0252931,120.2509459, UN201504280329 , A-TB-2015-19391 
22.9745975,120.2256024, UN201504280346 , A-TB-2015-19403 
22.9865955,120.2187585, UN201504280361 , A-TB-2015-19417 
23.011546,120.206343, UN201504280365 , A-TB-2015-19420 
22.9949194,120.2086246, UN201504290017 , A-TB-2015-19408 
23.130135,120.2939549, UN201504290024 , A-TB-2015-19430 
22.9893186,120.1751381, UN201504290042 , A-TB-2015-19433 
23.0007954,120.1617195, UN201504290073 , A-TB-2015-19448 
23.1946291,120.3059964, UN201504290078 , A-TB-2015-19455 
22.9884629,120.2281421, UN201504290092 , A-TB-2015-19463 
23.0251059,120.1974798, UN201504290093 , A-TB-2015-19464 
22.9726779,120.2161618, UN201504290094 , A-TB-2015-19467 
23.0005116,120.2246625, UN201504290095 , A-TB-2015-19466 
22.9983895,120.2062615, UN201504290097 , A-TB-2015-19471 
23.0401906,120.2405266, UN201504290108 , A-TB-2015-19475 
23.0053845,120.2460591, UN201504290153 , A-TB-2015-19544 
23.0066134,120.2137718, UN201504290155 , A-TB-2015-19546 
23.0221742,120.2242381, UN201504290160 , A-TB-2015-19513 
22.994116,120.2054916, UN201504290168 , A-TB-2015-19540 
22.9930358,120.2030421, UN201504290240 , A-TB-2015-19553 
22.9936111,120.2017016, UN201504290242 , A-TB-2015-19555 
23.351356,120.415648, UN201504290281 , A-TB-2015-19589 
23.0613939,120.2186109, UN201504290306 , A-TB-2015-19612 
22.99598,120.2219496, UN201504290322 , A-TB-2015-19632 
22.9874217,120.2252497, UN201504290330 , A-TB-2015-19621 
23.0100556,120.2079485, UN201504290342 , A-TB-2015-19625 
22.9900265,120.2279758, UN201504290345 , A-TB-2015-19627 
22.9955141,120.2019514, UN201504290350 , A-TB-2015-19631 
23.0076286,120.2207554, UN201504290355 , A-TB-2015-19645 
23.1927733,120.3170271, UN201504300405 , A-TB-2015-19662 
23.0445822,120.2408316, UN201504300407 , A-TB-2015-19659 
22.991575,120.192001, UN201504300408 , A-TB-2015-19661 
23.1928103,120.3162807, UN201504300422 , A-TB-2015-19698 
23.1930747,120.3130942, UN201504300437 , A-TB-2015-19689 
22.9968325,120.1972877, UN201504300473 , A-TB-2015-19702 
23.0175693,120.1932649, UN201504300475 , A-TB-2015-19704 
22.9964656,120.1928657, UN201504300486 , A-TB-2015-19701 
23.001892,120.196342, UN201504300490 , A-TB-2015-19712 
23.0019573,120.219643, UN201504300509 , A-TB-2015-19717 
23.064326,120.293968, UN201504300520 , A-TB-2015-19723 
22.9914898,120.1928203, UN201504300521 , A-TB-2015-19718 
22.9994797,120.1984359, UN201504300534 , A-TB-2015-19725 
22.9941191,120.2095009, UN201504300561 , A-TB-2015-19735 
23.0044537,120.218705, UN201504300581 , A-TB-2015-19746 
22.9928824,120.2070925, UN201504300595 , A-TB-2015-19747 
23.0063635,120.2341875, UN201504300603 , A-TB-2015-19754 
23.0033855,120.2207343, UN201504300617 , A-TB-2015-19759 
23.0065248,120.2327694, UN201504300644 , A-TB-2015-19779 
22.985709,120.199976, UN201504300646 , A-TB-2015-19797 
23.0251934,120.1971117, UN201504300648 , A-TB-2015-19778 
22.9868507,120.1864676, UN201504300654 , A-TB-2015-19784 
23.0247033,120.1914473, UN201504300679 , A-TB-2015-19812 
22.9874217,120.2252497, UN201504300739 , A-TB-2015-19854 
22.9919348,120.2103871, UN201504300743 , A-TB-2015-19852 
22.9948475,120.1986428, UN201504300765 , A-TB-2015-19863 
22.9809352,120.2203396, UN201504300769 , A-TB-2015-19864 
23.0046339,120.2461106, UN201504300777 , A-TB-2015-19871 
22.988004,120.197872, UN201504300790 , A-TB-2015-19880 
22.9912617,120.2277097, UN201504300800 , A-TB-2015-19870 
22.9874217,120.2252497, UN201504300801 , A-TB-2015-19905 
23.005002,120.247364, UN201504300838 , A-TB-2015-19891 
22.9879243,120.2250217, UN201505010015 , A-TB-2015-19921 
22.9784023,120.2261212, UN201505010038 , A-TB-2015-19932 
23.3509337,120.4168348, UN201505010044 , A-TB-2015-19936 
22.99263,120.1929258, UN201505010077 , A-TB-2015-19949 
22.9920735,120.231106, UN201505010088 , A-TB-2015-19952 
22.9948518,120.1964638, UN201505010095 , A-TB-2015-19961 
22.9952132,120.2098388, UN201505010107 , A-TB-2015-19976 
22.9972946,120.1971875, UN201505010113 , A-TB-2015-19973 
23.0040118,120.2135835, UN201505010125 , A-TB-2015-19979 
22.9972946,120.1971875, UN201505010128 , A-TB-2015-19982 
22.998857,120.195917, UN201505010135 , A-TB-2015-19990 
22.9885712,120.2355733, UN201505010137 , A-TB-2015-19987 
22.98453,120.2054097, UN201505010138 , A-TB-2015-19997 
22.9890496,120.204125, UN201505010141 , A-TB-2015-19992 
22.9718801,120.2162428, UN201505010144 , A-TB-2015-19993 
22.9958559,120.2269133, UN201505010160 , A-TB-2015-20003 
22.961031,120.2251229, UN201505010161 , A-TB-2015-20005 
22.9825487,120.2055583, UN201505010166 , A-TB-2015-20008 
22.9952058,120.2097062, UN201505010173 , A-TB-2015-20015 
22.9952132,120.2098388, UN201505010200 , A-TB-2015-20037 
22.9949247,120.2078036, UN201505010202 , A-TB-2015-20038 
23.306866,120.313456, UN201505010207 , A-TB-2015-20044 
23.0134805,120.2260509, UN201505010210 , A-TB-2015-20045 
22.9952132,120.2098388, UN201505010228 , A-TB-2015-20061 
23.0191311,120.2621203, UN201505010234 , A-TB-2015-20063 
23.183788,120.2492919, UN201505010250 , A-TB-2015-20070 
23.0107356,120.2327714, UN201505010262 , A-TB-2015-20076 
22.9976539,120.1990705, UN201505010276 , A-TB-2015-20081 
22.9906793,120.1944743, UN201505010279 , A-TB-2015-20083 
23.183541,120.2535453, UN201505010290 , A-TB-2015-20090 
22.9955278,120.1962359, UN201505010296 , A-TB-2015-20092 
22.9936111,120.2017016, UN201505010299 , A-TB-2015-20101 
22.9824684,120.2172836, UN201505010304 , A-TB-2015-20094 
23.0084418,120.2340924, UN201505010306 , A-TB-2015-20100 
22.9960999,120.2048385, UN201505010307 , A-TB-2015-20104 
22.9851617,120.2209203, UN201505010319 , A-TB-2015-20110 
23.011546,120.206343, UN201505010322 , A-TB-2015-20112 
22.9833964,120.2201107, UN201505010323 , A-TB-2015-20116 
23.0007333,120.2376973, UN201505020019 , A-TB-2015-20136 
22.9948989,120.1990259, UN201505020025 , A-TB-2015-20139 
22.92171,120.236824, UN201505020026 , A-TB-2015-20140 
23.0144357,120.2126593, UN201505020038 , A-TB-2015-20148 
23.0128662,120.2163703, UN201505020057 , A-TB-2015-20155 
23.0121341,120.2345928, UN201505020061 , A-TB-2015-20153 
22.9814103,120.2345288, UN201505020085 , A-TB-2015-20163 
22.988697,120.224381, UN201505020086 , A-TB-2015-20175 
22.9711055,120.2274907, UN201505020119 , A-TB-2015-20179 
23.0008734,120.2624354, UN201505020120 , A-TB-2015-20178 
22.9938147,120.2094021, UN201505020123 , A-TB-2015-20181 
23.0032411,120.2213002, UN201505020127 , A-TB-2015-20184 
23.1541893,120.1796578, UN201505020130 , A-TB-2015-20187 
22.9977041,120.1992119, UN201505020131 , A-TB-2015-20188 
22.9965584,120.1922086, UN201505020132 , A-TB-2015-20189 
23.3004491,120.3111138, UN201505020135 , A-TB-2015-20194 
23.0177609,120.1941894, UN201505020138 , A-TB-2015-20196 
22.982244,120.2055852, UN201505020139 , A-TB-2015-20198 
23.0032411,120.2213002, UN201505020144 , A-TB-2015-20199 
22.9908854,120.2275813, UN201505020152 , A-TB-2015-20203 
22.9983921,120.212063, UN201505020160 , A-TB-2015-20209 
23.0385656,120.3075701, UN201505020182 , A-TB-2015-20224 
23.0150316,120.2098848, UN201505020211 , A-TB-2015-20241 
22.9996509,120.1972029, UN201505020233 , A-TB-2015-20249 
22.9953679,120.1927552, UN201505020235 , A-TB-2015-20254 
23.0095222,120.1954702, UN201505020239 , A-TB-2015-20257 
23.0002401,120.196828, UN201505020241 , A-TB-2015-20259 
22.9943326,120.2146941, UN201505020251 , A-TB-2015-20262 
22.9972343,120.211936, UN201505020252 , A-TB-2015-20265 
22.9679035,120.2324105, UN201505020260 , A-TB-2015-20271 
22.9914285,120.1937046, UN201505030028 , A-TB-2015-20301 
22.9908887,120.1939304, UN201505030031 , A-TB-2015-20306 
22.9752604,120.2106211, UN201505030053 , A-TB-2015-20318 
22.9963061,120.2021065, UN201505030072 , A-TB-2015-20327 
22.9842792,120.198913, UN201505030073 , A-TB-2015-20328 
22.9882601,120.234309, UN201505030078 , A-TB-2015-20330 
22.9936741,120.2011124, UN201505030082 , A-TB-2015-20334 
22.973827,120.220684, UN201505030084 , A-TB-2015-20335 
