Id,Address,Latitude,Longitude,Time,Deaths_and_Injuries,Vehicles
14858,臺南市佳里區東寧里文化路與信義二街路口,23.16312900000 ,120.18065850000 ,106年11月01日 11時20分00秒,死亡0;受傷1,普通重型-機車;自用-小客車
14859,臺南市永康區大灣六街西側,23.00757772919 ,120.26932382982 ,106年11月01日 11時48分30秒,死亡0;受傷1,普通重型-機車;普通重型-機車
14860,臺南市東區凱旋路南側,22.99312079888 ,120.23013096932 ,106年11月01日 11時56分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車
14861,臺南市東區裕農路446巷,22.98653338235 ,120.23183385189 ,106年11月01日 12時10分00秒,死亡0;受傷2,普通重型-機車;普通重型-機車
14862,臺南市永康區中華里華興街128號前0.0公尺南側,23.00078552207 ,120.23696666472 ,106年11月01日 12時20分00秒,死亡0;受傷1,自用-小客車;普通重型-機車
14863,臺南市新營區中營里開元路7號旁路口,23.30777913711 ,120.32333379794 ,106年11月01日 12時40分00秒,死亡0;受傷1,自用-小客車;普通重型-機車
14864,臺南市佳里區縣176線 15公里300.0公尺處西,23.16382057508 ,120.17485886901 ,106年11月01日 12時50分00秒,死亡0;受傷1,自用-小客車;自用-小客車
14865,臺南市永康區甲頂里中央路南側,23.02319563779 ,120.21595514260 ,106年11月01日 12時56分00秒,死亡0;受傷2,普通重型-機車;乘客-人
14866,臺南市新化區那拔里那拔林23-2號前,23.06757779156 ,120.34892770137 ,106年11月01日 13時40分43秒,死亡0;受傷2,腳踏自行車-慢車;普通重型-機車;自用-小客車
14867,臺南市東區崇善街西側,22.96692127636 ,120.32506285527 ,106年11月01日 13時45分00秒,死亡0;受傷1,自用-小客車;普通重型-機車
14868,臺南市安南區郡安路北側,23.04698000000 ,120.18477000000 ,106年11月01日 13時51分00秒,死亡0;受傷1,普通重型-機車;普通重型-機車
14869,臺南市永康區中華路1072之6號,23.02295259379 ,120.21329380078 ,106年11月01日 14時15分30秒,死亡0;受傷2,普通重型-機車;普通重型-機車;乘客-人
14870,臺南市仁德區新田里德洋路北側,22.95615000000 ,120.26148000000 ,106年11月01日 14時36分52秒,死亡0;受傷1,普通重型-機車;普通重型-機車
14871,臺南市白河區永安里中正路與新生路之路口,23.34978000000 ,120.41394750000 ,106年11月01日 14時42分41秒,死亡0;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用)
14872,臺南市新營區延平里延平路50號西側,23.30103773911 ,120.31351633859 ,106年11月01日 14時45分00秒,死亡0;受傷1,自用-小客車;普通重型-機車
14873,臺南市新營區周武街北側,23.31139899969 ,120.30962103457 ,106年11月01日 15時21分00秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車
14874,臺南市南區金華路二段3巷與慶南街,22.97558700000 ,120.18978000000 ,106年11月01日 15時50分45秒,死亡0;受傷1,普通輕型-機車;自用-小客車
14875,臺南市安定區新吉里國8側車道(新吉19之3號前)路口,23.08923959631 ,120.21031191424 ,106年11月01日 16時03分44秒,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車
14876,臺南市永康區忠孝路北側,23.01085420011 ,120.24205841719 ,106年11月01日 16時28分00秒,死亡0;受傷2,腳踏自行車-慢車;普通重型-機車
